date,category,perc,count,baseline
2020-08-30,CCDD CDC Pneumonia CCDD v1,2.074943,237,11422
2020-08-30,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.099282,354,11422
2020-08-30,SUBSYNDROME ShortnessOfBreath,5.541937,633,11422
2020-08-29,CCDD CDC Pneumonia CCDD v1,2.148674,248,11542
2020-08-29,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.720499,314,11542
2020-08-29,SUBSYNDROME ShortnessOfBreath,5.20707,601,11542
2020-08-28,CCDD CDC Pneumonia CCDD v1,2.390019,295,12343
2020-08-28,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.7627,341,12343
2020-08-28,SUBSYNDROME ShortnessOfBreath,5.889978,727,12343
2020-08-27,CCDD CDC Pneumonia CCDD v1,2.290382,286,12487
2020-08-27,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.987107,373,12487
2020-08-27,SUBSYNDROME ShortnessOfBreath,5.645872,705,12487
2020-08-26,CCDD CDC Pneumonia CCDD v1,2.158273,267,12371
2020-08-26,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.998949,371,12371
2020-08-26,SUBSYNDROME ShortnessOfBreath,6.046399,748,12371
2020-08-25,CCDD CDC Pneumonia CCDD v1,2.290016,292,12751
2020-08-25,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.129166,399,12751
2020-08-25,SUBSYNDROME ShortnessOfBreath,5.662301,722,12751
2020-08-24,CCDD CDC Pneumonia CCDD v1,2.112933,290,13725
2020-08-24,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.322404,456,13725
2020-08-24,SUBSYNDROME ShortnessOfBreath,6.477231,889,13725
2020-08-23,CCDD CDC Pneumonia CCDD v1,2.333391,271,11614
2020-08-23,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.617531,304,11614
2020-08-23,SUBSYNDROME ShortnessOfBreath,4.847598,563,11614
2020-08-22,CCDD CDC Pneumonia CCDD v1,2.078303,241,11596
2020-08-22,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.552604,296,11596
2020-08-22,SUBSYNDROME ShortnessOfBreath,5.294929,614,11596
2020-08-21,CCDD CDC Pneumonia CCDD v1,2.484976,306,12314
2020-08-21,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.874777,354,12314
2020-08-21,SUBSYNDROME ShortnessOfBreath,5.944453,732,12314
2020-08-20,CCDD CDC Pneumonia CCDD v1,2.250544,279,12397
2020-08-20,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.170122,393,12397
2020-08-20,SUBSYNDROME ShortnessOfBreath,6.09825,756,12397
2020-08-19,CCDD CDC Pneumonia CCDD v1,2.010635,242,12036
2020-08-19,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.899634,349,12036
2020-08-19,SUBSYNDROME ShortnessOfBreath,5.724493,689,12036
2020-08-18,CCDD CDC Pneumonia CCDD v1,2.131327,272,12762
2020-08-18,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.726845,348,12762
2020-08-18,SUBSYNDROME ShortnessOfBreath,5.868986,749,12762
2020-08-17,CCDD CDC Pneumonia CCDD v1,2.341307,322,13753
2020-08-17,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.922999,402,13753
2020-08-17,SUBSYNDROME ShortnessOfBreath,6.645823,914,13753
2020-08-16,CCDD CDC Pneumonia CCDD v1,2.088474,237,11348
2020-08-16,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.145929,357,11348
2020-08-16,SUBSYNDROME ShortnessOfBreath,5.578075,633,11348
2020-08-15,CCDD CDC Pneumonia CCDD v1,2.268415,263,11594
2020-08-15,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.13093,363,11594
2020-08-15,SUBSYNDROME ShortnessOfBreath,5.502846,638,11594
2020-08-14,CCDD CDC Pneumonia CCDD v1,2.189957,273,12466
2020-08-14,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.120488,389,12466
2020-08-14,SUBSYNDROME ShortnessOfBreath,5.976255,745,12466
2020-08-13,CCDD CDC Pneumonia CCDD v1,2.116025,267,12618
2020-08-13,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.948169,372,12618
2020-08-13,SUBSYNDROME ShortnessOfBreath,5.848787,738,12618
2020-08-12,CCDD CDC Pneumonia CCDD v1,2.337438,298,12749
2020-08-12,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.027688,386,12749
2020-08-12,SUBSYNDROME ShortnessOfBreath,6.361283,811,12749
2020-08-11,CCDD CDC Pneumonia CCDD v1,2.219791,284,12794
2020-08-11,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.876348,368,12794
2020-08-11,SUBSYNDROME ShortnessOfBreath,6.104424,781,12794
2020-08-10,CCDD CDC Pneumonia CCDD v1,2.390072,312,13054
2020-08-10,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.642868,345,13054
2020-08-10,SUBSYNDROME ShortnessOfBreath,6.197334,809,13054
2020-08-09,CCDD CDC Pneumonia CCDD v1,2.085944,233,11170
2020-08-09,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.802149,313,11170
2020-08-09,SUBSYNDROME ShortnessOfBreath,5.631155,629,11170
2020-08-08,CCDD CDC Pneumonia CCDD v1,2.07502,234,11277
2020-08-08,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.66915,301,11277
2020-08-08,SUBSYNDROME ShortnessOfBreath,5.382637,607,11277
2020-08-07,CCDD CDC Pneumonia CCDD v1,2.232697,270,12093
2020-08-07,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.415199,413,12093
2020-08-07,SUBSYNDROME ShortnessOfBreath,6.342512,767,12093
2020-08-06,CCDD CDC Pneumonia CCDD v1,2.358839,287,12167
2020-08-06,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.386209,412,12167
2020-08-06,SUBSYNDROME ShortnessOfBreath,5.917646,720,12167
2020-08-05,CCDD CDC Pneumonia CCDD v1,2.311658,278,12026
2020-08-05,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.01846,363,12026
2020-08-05,SUBSYNDROME ShortnessOfBreath,6.253118,752,12026
2020-08-04,CCDD CDC Pneumonia CCDD v1,2.358646,287,12168
2020-08-04,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.238001,394,12168
2020-08-04,SUBSYNDROME ShortnessOfBreath,6.122617,745,12168
2020-08-03,CCDD CDC Pneumonia CCDD v1,2.204675,282,12791
2020-08-03,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.759753,353,12791
2020-08-03,SUBSYNDROME ShortnessOfBreath,6.434212,823,12791
2020-08-02,CCDD CDC Pneumonia CCDD v1,2.247706,245,10900
2020-08-02,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.082569,336,10900
2020-08-02,SUBSYNDROME ShortnessOfBreath,6.192661,675,10900
2020-08-01,CCDD CDC Pneumonia CCDD v1,2.290144,257,11222
2020-08-01,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.207984,360,11222
2020-08-01,SUBSYNDROME ShortnessOfBreath,5.560506,624,11222
2020-07-31,CCDD CDC Pneumonia CCDD v1,2.119139,254,11986
2020-07-31,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.095278,371,11986
2020-07-31,SUBSYNDROME ShortnessOfBreath,6.098782,731,11986
2020-07-30,CCDD CDC Pneumonia CCDD v1,2.210544,265,11988
2020-07-30,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.877878,345,11988
2020-07-30,SUBSYNDROME ShortnessOfBreath,6.031031,723,11988
2020-07-29,CCDD CDC Pneumonia CCDD v1,2.341137,287,12259
2020-07-29,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.903989,356,12259
2020-07-29,SUBSYNDROME ShortnessOfBreath,5.962966,731,12259
2020-07-28,CCDD CDC Pneumonia CCDD v1,2.252866,281,12473
2020-07-28,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.854165,356,12473
2020-07-28,SUBSYNDROME ShortnessOfBreath,6.397819,798,12473
2020-07-27,CCDD CDC Pneumonia CCDD v1,2.192411,286,13045
2020-07-27,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.981985,389,13045
2020-07-27,SUBSYNDROME ShortnessOfBreath,6.316596,824,13045
2020-07-26,CCDD CDC Pneumonia CCDD v1,1.912544,213,11137
2020-07-26,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.603933,290,11137
2020-07-26,SUBSYNDROME ShortnessOfBreath,5.450301,607,11137
2020-07-25,CCDD CDC Pneumonia CCDD v1,1.817696,204,11223
2020-07-25,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.423594,272,11223
2020-07-25,SUBSYNDROME ShortnessOfBreath,5.176869,581,11223
2020-07-24,CCDD CDC Pneumonia CCDD v1,2.255323,268,11883
2020-07-24,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.617184,311,11883
2020-07-24,SUBSYNDROME ShortnessOfBreath,6.14323,730,11883
2020-07-23,CCDD CDC Pneumonia CCDD v1,2.06272,246,11926
2020-07-23,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.808989,335,11926
2020-07-23,SUBSYNDROME ShortnessOfBreath,5.861144,699,11926
2020-07-22,CCDD CDC Pneumonia CCDD v1,2.302577,277,12030
2020-07-22,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.793017,336,12030
