county,date,measure,group,cases,tested
Adams,2020-11-30,race,AI/AN**,0,24
Adams,2020-11-30,race,Asian,0,96
Adams,2020-11-30,race,Black,85,636
Adams,2020-11-30,race,Hispanic,7,168
Adams,2020-11-30,race,Left Blank,3474,43712
Adams,2020-11-30,race,NH/PI*,0,43
Adams,2020-11-30,race,Other,0,105
Adams,2020-11-30,race,White,1195,19661
Adams,2020-11-29,age,<20,7,4
Adams,2020-11-29,age,20-29,9,6
Adams,2020-11-29,age,30-39,5,9
Adams,2020-11-29,age,40-49,4,7
Adams,2020-11-29,age,50-59,8,1
Adams,2020-11-29,age,60-69,6,5
Adams,2020-11-29,age,70-79,3,3
Adams,2020-11-29,age,80+,2,8
Adams,2020-11-29,age,Unknown,1,2
Adams,2020-11-29,gender,Female,2425,34819
Adams,2020-11-29,gender,Male,2064,24205
Adams,2020-11-29,gender,Unknown/Left Blank,246,4900
Adams,2020-11-29,race,AI/AN**,0,23
Adams,2020-11-29,race,Asian,0,96
Adams,2020-11-29,race,Black,85,635
Adams,2020-11-29,race,Hispanic,7,167
Adams,2020-11-29,race,Left Blank,3449,43272
Adams,2020-11-29,race,NH/PI*,0,43
Adams,2020-11-29,race,Other,0,105
Adams,2020-11-29,race,White,1180,19583
Adams,2020-11-28,age,<20,7,4
Adams,2020-11-28,age,20-29,9,6
Adams,2020-11-28,age,30-39,5,9
Adams,2020-11-28,age,40-49,4,7
Adams,2020-11-28,age,50-59,8,1
Adams,2020-11-28,age,60-69,6,5
Adams,2020-11-28,age,70-79,3,3
Adams,2020-11-28,age,80+,2,8
Adams,2020-11-28,age,Unknown,1,2
Adams,2020-11-28,gender,Female,2409,34611
Adams,2020-11-28,gender,Male,2044,24059
Adams,2020-11-28,gender,Unknown/Left Blank,242,4805
Adams,2020-11-28,race,AI/AN**,0,23
Adams,2020-11-28,race,Asian,0,96
Adams,2020-11-28,race,Black,85,635
Adams,2020-11-28,race,Hispanic,7,167
Adams,2020-11-28,race,Left Blank,3415,42905
Adams,2020-11-28,race,NH/PI*,0,43
Adams,2020-11-28,race,Other,0,104
Adams,2020-11-28,race,White,1175,19502
Adams,2020-11-27,age,<20,7,3
Adams,2020-11-27,age,20-29,9,5
Adams,2020-11-27,age,30-39,5,8
Adams,2020-11-27,age,40-49,4,6
Adams,2020-11-27,age,50-59,8,9
Adams,2020-11-27,age,60-69,6,4
Adams,2020-11-27,age,70-79,3,2
Adams,2020-11-27,age,80+,2,7
Adams,2020-11-27,age,Unknown,1,1
Adams,2020-11-27,gender,Female,2398,33813
Adams,2020-11-27,gender,Male,2022,23498
Adams,2020-11-27,gender,Unknown/Left Blank,231,4565
Adams,2020-11-27,race,AI/AN**,0,23
Adams,2020-11-27,race,Asian,0,96
Adams,2020-11-27,race,Black,84,630
Adams,2020-11-27,race,Hispanic,8,166
Adams,2020-11-27,race,Left Blank,3378,41702
Adams,2020-11-27,race,NH/PI*,0,43
Adams,2020-11-27,race,Other,0,102
Adams,2020-11-27,race,White,1169,19114
Adams,2020-11-26,age,<20,7,3
Adams,2020-11-26,age,20-29,9,5
Adams,2020-11-26,age,30-39,5,8
Adams,2020-11-26,age,40-49,4,6
Adams,2020-11-26,age,50-59,8,9
Adams,2020-11-26,age,60-69,6,4
Adams,2020-11-26,age,70-79,3,2
Adams,2020-11-26,age,80+,2,7
Adams,2020-11-26,age,Unknown,1,1
Adams,2020-11-26,gender,Female,2392,33678
Adams,2020-11-26,gender,Male,2021,23398
Adams,2020-11-26,gender,Unknown/Left Blank,231,4565
Adams,2020-11-26,race,AI/AN**,0,23
Adams,2020-11-26,race,Asian,0,96
Adams,2020-11-26,race,Black,84,627
Adams,2020-11-26,race,Hispanic,8,164
Adams,2020-11-26,race,Left Blank,3373,41491
Adams,2020-11-26,race,NH/PI*,0,43
Adams,2020-11-26,race,Other,0,102
Adams,2020-11-26,race,White,1167,19095
Adams,2020-11-25,age,<20,7,3
Adams,2020-11-25,age,20-29,9,5
Adams,2020-11-25,age,30-39,5,8
Adams,2020-11-25,age,40-49,4,6
Adams,2020-11-25,age,50-59,8,9
Adams,2020-11-25,age,60-69,6,4
Adams,2020-11-25,age,70-79,3,2
Adams,2020-11-25,age,80+,2,7
Adams,2020-11-25,age,Unknown,1,1
Adams,2020-11-25,gender,Female,2359,33022
Adams,2020-11-25,gender,Male,1991,23049
Adams,2020-11-25,gender,Unknown/Left Blank,221,4249
Adams,2020-11-25,race,AI/AN**,0,22
Adams,2020-11-25,race,Asian,0,94
Adams,2020-11-25,race,Black,84,618
Adams,2020-11-25,race,Hispanic,8,163
Adams,2020-11-25,race,Left Blank,3308,40453
Adams,2020-11-25,race,NH/PI*,0,42
Adams,2020-11-25,race,Other,0,101
Adams,2020-11-25,race,White,1159,18827
Adams,2020-11-24,age,<20,633,5779
Adams,2020-11-24,age,20-29,712,7390
Adams,2020-11-24,age,30-39,616,8037
Adams,2020-11-24,age,40-49,585,7459
Adams,2020-11-24,age,50-59,700,9272
Adams,2020-11-24,age,60-69,622,6986
Adams,2020-11-24,age,70-79,374,5812
Adams,2020-11-24,age,80+,246,7606
Adams,2020-11-24,age,Unknown,0,0
Adams,2020-11-24,gender,Female,2322,32069
Adams,2020-11-24,gender,Male,1963,22410
Adams,2020-11-24,gender,Unknown/Left Blank,205,3867
Adams,2020-11-24,race,AI/AN**,0,21
Adams,2020-11-24,race,Asian,0,88
Adams,2020-11-24,race,Black,84,601
Adams,2020-11-24,race,Hispanic,7,161
Adams,2020-11-24,race,Left Blank,3233,39314
Adams,2020-11-24,race,NH/PI*,0,39
Adams,2020-11-24,race,Other,0,98
Adams,2020-11-24,race,White,1154,18024
Adams,2020-11-23,age,<20,624,5616
Adams,2020-11-23,age,20-29,702,7230
Adams,2020-11-23,age,30-39,600,7891
Adams,2020-11-23,age,40-49,574,7341
Adams,2020-11-23,age,50-59,688,9137
Adams,2020-11-23,age,60-69,609,6850
Adams,2020-11-23,age,70-79,360,5743
Adams,2020-11-23,age,80+,236,7576
Adams,2020-11-23,age,Unknown,0,0
Adams,2020-11-23,gender,Female,2277,31711
Adams,2020-11-23,gender,Male,1932,22190
Adams,2020-11-23,gender,Unknown/Left Blank,186,3488
Adams,2020-11-23,race,AI/AN**,0,21
Adams,2020-11-23,race,Asian,0,88
Adams,2020-11-23,race,Black,84,597
Adams,2020-11-23,race,Hispanic,7,160
Adams,2020-11-23,race,Left Blank,3154,38507
Adams,2020-11-23,race,NH/PI*,0,39
Adams,2020-11-23,race,Other,0,97
Adams,2020-11-23,race,White,1141,17880
Adams,2020-11-22,age,<20,615,5498
Adams,2020-11-22,age,20-29,701,7122
Adams,2020-11-22,age,30-39,594,7732
Adams,2020-11-22,age,40-49,564,7227
Adams,2020-11-22,age,50-59,680,9023
Adams,2020-11-22,age,60-69,603,6740
Adams,2020-11-22,age,70-79,355,5671
Adams,2020-11-22,age,80+,234,7535
