date,group,positive_cases
2020-08-02,50-59,134
2020-08-02,60-69,114
2020-08-02,70-79,55
2020-08-02,80+,44
2020-08-01,<20,272
2020-08-01,20-29,412
2020-08-01,30-39,311
2020-08-01,40-49,234
2020-08-01,50-59,222
2020-08-01,60-69,140
2020-08-01,70-79,66
2020-08-01,80+,46
2020-07-31,<20,260
2020-07-31,20-29,378
2020-07-31,30-39,311
2020-07-31,40-49,268
2020-07-31,50-59,218
2020-07-31,60-69,133
2020-07-31,70-79,81
2020-07-31,80+,41
2020-07-30,<20,373
2020-07-30,20-29,518
2020-07-30,30-39,316
2020-07-30,40-49,285
2020-07-30,50-59,249
2020-07-30,60-69,148
2020-07-30,70-79,90
2020-07-30,80+,40
2020-07-29,<20,265
2020-07-29,20-29,389
